City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
610,San Buenaventura,MX,71.47,clear sky,27.0833,-101.5333,Hotel Casa Bonita
613,Vero Beach,US,70.05,clear sky,27.6386,-80.3973,Hampton Inn & Suites
620,Isla Mujeres,MX,78.85,overcast clouds,21.2311,-86.731,Villa La Bella
630,Marica,BR,71.55,overcast clouds,-22.9194,-42.8186,Pousada Vila Flor
633,Ciudad Lazaro Cardenas,MX,71.73,scattered clouds,17.9583,-102.2,Hotel Sol del Pacífico
646,Derzhavinsk,KZ,77.81,overcast clouds,51.1,66.3167,Ишим
648,Cannonvale,AU,74.59,broken clouds,-20.2833,148.7,Whitsundays Rainforest Retreat
656,Korla,CN,71.22,clear sky,41.7597,86.1469,Silver Star Hotel
657,Nicoya,CR,78.12,overcast clouds,10.1483,-85.452,Hotel marianela
660,Lazaro Cardenas,MX,70.48,scattered clouds,17.9583,-102.2,Hotel Sol del Pacífico
